"Date","Google google.com","bing bing.com","Google google.co.in","Google google.co.uk","Google google.de","Google google.ca","Yahoo! r.search.yahoo.com","Baidu m.baidu.com","Google google.com.tr","YANDEX yandex.com.tr","Google google.co.th","Google google.com.tw","Google google.fr","Google google.com.au","Google google.es","DuckDuckGo duckduckgo.com","Baidu baidu.com","Yahoo! search.yahoo.com","YANDEX RU yandex.ru","Google google.nl","Google google.it","Google google.co.id","Google google.com.mx","Google google.com.br","Google google.co.jp","Google google.se","Sogou sogou.com","Google google.pl","Google google.com.hk","Yahoo! search.yahoo.co.jp","Google google.com.pk","Google google.com.ph","Google google.com.my","Google news.google.com","Google google.ro","Google google.co.kr","Google google.be","Ecosia ecosia.org","Google google.com.sg","Google google.no","Google google.com.ar","Google scholar.google.co.id","Google google.hu","Google google.ru","Google google.ch","Naver m.search.naver.com","Google google.ie","Google google.co.za","Google google.gr","Google google.dk","Google google.com.vn","Google google.cl","Google google.at","Yahoo! tw.search.yahoo.com","Google google.pt","Google google.com.co","Google scholar.google.com","Google google.com.bd","Google google.co.nz","YANDEX RU yandex.com","Haosou so.com","Shenma so.m.sm.cn","Google google.com.pe","Google google.com.ua","Naver search.naver.com","Google google.ae","Sogou m.sogou.com","Yahoo! uk.search.yahoo.com","bing cn.bing.com","MSN msn.com","Google google.bg","Yahoo! in.search.yahoo.com","Google google.fi","Yahoo! tr.search.yahoo.com","Google google.rs","Seznam search.seznam.cz","Google google.co.il","Sogou wap.sogou.com","Google google.com.eg","Mail.ru go.mail.ru","Shenma yz.m.sm.cn","Yahoo! es.search.yahoo.com","Google google.com.sa","Qwant qwant.com","Google google.cz","CocCoc coccoc.com","Yahoo! br.search.yahoo.com","Google google.hr","Google google.lk","Yahoo! us.search.yahoo.com","Google google.lt","Yahoo! fr.search.yahoo.com","Yahoo! yahoo.com","Yahoo! ca.search.yahoo.com","Yahoo! id.search.yahoo.com","Google google.sk","Google scholar.google.es","Google google.co.ve","Yahoo! hk.search.yahoo.com","YANDEX RU yandex.by","Yahoo! mx.search.yahoo.com","Google google.ba","Daum search.daum.net","Google google.com.np","YANDEX RU yandex.kz","Google google.com.do","Other"
2019-09,77.84,2.3,3.06,1.46,0.83,0.67,0.74,0.57,0.5,0.39,0.6,0.35,0.49,0.43,0.45,0.42,0.36,0.39,0.37,0.44,0.38,0.37,0.31,0.27,0.21,0.22,0.19,0.23,0.16,0.16,0.27,0.23,0.16,0.15,0.13,0.15,0.13,0.14,0.14,0.1,0.12,0.12,0.11,0.12,0.11,0.08,0.09,0.09,0.09,0.08,0.09,0.07,0.08,0.04,0.06,0.06,0.04,0.11,0.05,0.06,0.03,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.08,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.39
2019-10,77.74,2.51,3.05,1.54,0.84,0.67,0.71,0.57,0.51,0.35,0.51,0.36,0.49,0.45,0.45,0.39,0.33,0.36,0.42,0.44,0.37,0.35,0.29,0.26,0.22,0.23,0.29,0.24,0.16,0.17,0.27,0.18,0.16,0.16,0.13,0.15,0.13,0.13,0.12,0.1,0.11,0.14,0.11,0.11,0.1,0.05,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.04,0.06,0.06,0.06,0.09,0.05,0.04,0.03,0.06,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.06,0.04,0.03,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.04,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.38
2019-11,77.98,2.28,3.1,1.49,0.82,0.67,0.7,0.51,0.59,0.54,0.49,0.36,0.5,0.44,0.46,0.4,0.33,0.35,0.43,0.42,0.38,0.35,0.27,0.25,0.24,0.24,0.2,0.23,0.16,0.19,0.25,0.19,0.17,0.16,0.14,0.13,0.13,0.13,0.12,0.1,0.11,0.13,0.11,0.11,0.1,0.06,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.04,0.06,0.05,0.06,0.06,0.05,0.08,0.03,0.06,0.04,0.05,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37
2019-12,78.23,2.28,2.63,1.44,0.91,0.68,0.69,0.67,0.62,0.5,0.5,0.42,0.51,0.44,0.45,0.42,0.38,0.37,0.44,0.38,0.35,0.31,0.24,0.23,0.25,0.25,0.22,0.22,0.18,0.18,0.26,0.17,0.17,0.14,0.13,0.15,0.13,0.13,0.12,0.13,0.11,0.11,0.12,0.11,0.11,0.07,0.09,0.08,0.08,0.08,0.09,0.07,0.09,0.04,0.05,0.05,0.04,0.05,0.05,0.08,0.03,0.06,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.02,0.04,0.03,0.04,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36
2020-01,77.99,2.42,2.35,1.57,0.83,0.69,0.7,0.72,0.7,0.38,0.57,0.45,0.46,0.46,0.45,0.44,0.38,0.41,0.44,0.4,0.38,0.3,0.27,0.25,0.25,0.24,0.37,0.24,0.17,0.17,0.22,0.19,0.16,0.17,0.17,0.14,0.13,0.14,0.11,0.14,0.1,0.08,0.12,0.1,0.1,0.05,0.1,0.1,0.13,0.09,0.07,0.06,0.08,0.04,0.06,0.05,0.04,0.05,0.05,0.06,0.03,0.05,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.02,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36
2020-02,77.88,2.4,2.13,1.57,0.75,0.67,0.67,1.02,0.59,0.4,0.6,0.6,0.45,0.45,0.46,0.41,0.47,0.41,0.44,0.38,0.38,0.34,0.27,0.25,0.26,0.22,0.34,0.24,0.2,0.18,0.2,0.17,0.17,0.16,0.15,0.11,0.13,0.13,0.11,0.15,0.11,0.12,0.11,0.1,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.06,0.07,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.03,0.04,0.03,0.04,0.05,0.03,0.03,0.02,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36
2020-03,77.85,2.51,2.1,1.53,0.71,0.69,0.62,0.88,0.59,0.45,0.56,0.54,0.49,0.44,0.47,0.4,0.56,0.47,0.44,0.37,0.47,0.34,0.27,0.26,0.24,0.21,0.21,0.25,0.21,0.18,0.2,0.17,0.15,0.22,0.15,0.11,0.13,0.14,0.11,0.12,0.13,0.15,0.11,0.1,0.09,0.17,0.08,0.08,0.08,0.08,0.08,0.06,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.06,0.05,0.03,0.04,0.05,0.04,0.04,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36
2020-04,77.82,2.75,1.73,1.73,0.67,0.78,0.69,0.66,0.54,0.44,0.51,0.63,0.59,0.51,0.5,0.45,0.44,0.55,0.46,0.39,0.46,0.35,0.26,0.28,0.21,0.22,0.22,0.23,0.23,0.17,0.12,0.15,0.16,0.16,0.16,0.12,0.14,0.15,0.11,0.12,0.13,0.12,0.11,0.11,0.1,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.09,0.06,0.06,0.07,0.03,0.06,0.04,0.13,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.02,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.38
2020-05,78.76,2.57,1.58,1.66,0.59,0.69,0.65,0.69,0.59,0.56,0.51,0.57,0.49,0.45,0.51,0.46,0.48,0.49,0.43,0.41,0.39,0.35,0.27,0.26,0.24,0.24,0.19,0.19,0.22,0.18,0.1,0.15,0.15,0.14,0.16,0.12,0.13,0.14,0.13,0.14,0.12,0.09,0.1,0.09,0.09,0.09,0.08,0.08,0.06,0.08,0.07,0.07,0.06,0.09,0.06,0.06,0.05,0.03,0.05,0.05,0.05,0.03,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36
2020-06,79.06,2.71,1.48,1.63,0.55,0.64,0.62,0.58,0.6,0.92,0.5,0.55,0.42,0.44,0.46,0.48,0.44,0.44,0.41,0.41,0.37,0.34,0.26,0.28,0.25,0.21,0.26,0.16,0.21,0.19,0.1,0.14,0.15,0.12,0.13,0.13,0.13,0.12,0.12,0.09,0.12,0.1,0.1,0.08,0.08,0.1,0.08,0.08,0.06,0.06,0.07,0.08,0.06,0.08,0.06,0.06,0.05,0.03,0.05,0.03,0.04,0.02,0.05,0.03,0.05,0.04,0.04,0.05,0.04,0.05,0.03,0.04,0.03,0.05,0.02,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34
2020-07,79.93,2.75,1.22,1.6,0.54,0.63,0.6,0.54,0.73,0.85,0.48,0.5,0.39,0.43,0.41,0.5,0.38,0.41,0.36,0.41,0.39,0.3,0.24,0.27,0.24,0.24,0.14,0.17,0.22,0.2,0.11,0.12,0.15,0.11,0.12,0.12,0.13,0.11,0.12,0.09,0.11,0.08,0.09,0.08,0.07,0.07,0.08,0.08,0.06,0.06,0.07,0.08,0.05,0.08,0.05,0.06,0.05,0.03,0.05,0.04,0.04,0.02,0.04,0.03,0.03,0.04,0.04,0.06,0.04,0.05,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33
2020-08,79.86,2.79,1.15,1.55,0.53,0.64,0.6,0.52,0.7,0.76,0.51,0.61,0.41,0.45,0.36,0.52,0.46,0.42,0.36,0.42,0.34,0.3,0.25,0.26,0.25,0.23,0.15,0.15,0.26,0.21,0.11,0.11,0.15,0.11,0.12,0.14,0.14,0.11,0.12,0.1,0.11,0.07,0.09,0.08,0.08,0.12,0.08,0.08,0.05,0.06,0.07,0.1,0.05,0.09,0.05,0.06,0.04,0.04,0.05,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.04,0.02,0.04,0.03,0.03,0.02,0.01,0,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.32
2020-09,80.46,2.79,1.04,1.44,0.53,0.63,0.56,0.55,0.42,0.5,0.5,0.55,0.43,0.45,0.39,0.5,0.59,0.41,0.37,0.38,0.36,0.3,0.26,0.26,0.26,0.25,0.12,0.15,0.24,0.21,0.13,0.12,0.16,0.11,0.13,0.16,0.12,0.11,0.11,0.11,0.1,0.14,0.09,0.09,0.08,0.12,0.08,0.09,0.06,0.07,0.06,0.08,0.05,0.09,0.05,0.06,0.07,0.04,0.05,0.03,0.03,0.03,0.04,0.03,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.31
